category,rank,count,danbooru_tag,japanese,in_current_list
質感・カット,1,114922,hair_intakes,インテークヘア,✓
質感・カット,2,104017,wavy_hair,ウェーブ,✓
質感・カット,3,92876,bob_cut,ボブ,✓
質感・カット,4,70002,spiked_hair,スパイキー,
質感・カット,5,64516,straight_hair,ストレート,✓
質感・カット,6,61768,messy_hair,乱れ髪,✓
質感・カット,7,34462,curly_hair,巻き毛,✓
質感・カット,8,22820,hime_cut,姫カット,✓
質感・カット,9,22529,flipped_hair,外ハネ,✓
質感・カット,10,16131,undercut,刈り上げ,✓
質感・カット,11,15139,wet_hair,濡れ髪,✓
質感・カット,12,4619,pompadour,ポンパドール,
質感・カット,13,3982,mohawk,モヒカン,✓
質感・カット,14,3151,afro,アフロ,
質感・カット,15,2886,bowl_cut,マッシュ,✓
質感・カット,16,1290,hair_flip,外ハネ,
長さ,1,4350743,long_hair,ロング,✓
長さ,2,2261608,short_hair,ショート,✓
長さ,3,952244,very_long_hair,スーパーロング,✓
長さ,4,377425,medium_hair,ミディアム,
長さ,5,46763,short_hair_with_long_locks,襟足長めショート,
長さ,6,42325,low-tied_long_hair,低い位置で結んだ長髪,
長さ,7,21387,very_short_hair,ベリーショート,
長さ,8,21032,absurdly_long_hair,極端に長い,
長さ,9,7391,low-braided_long_hair,低い位置の編み下ろし,
長さ,10,4337,long_hair_between_eyes,目の間の長い前髪,
長さ,11,47,low-tied_medium_hair,低い位置で結んだミディアム,
結い方,1,904712,twintails,ツインテール,✓
結い方,2,629860,braid,三つ編み,
結い方,3,599087,ponytail,ポニーテール,✓
結い方,4,244545,hair_bun,お団子,✓
結い方,5,89870,drill_hair,縦ロール,✓
結い方,6,69705,single_hair_bun,お団子(片方),
結い方,7,41822,hair_rings,お団子リング,
結い方,8,14831,cone_hair_bun,円錐お団子,
結い方,9,12779,hair_up,まとめ髪,
結い方,10,6422,braided_hair_rings,編み込みリング,
結い方,11,6270,ringlets,リングレット,✓
結い方,12,5928,multi-tied_hair,複数結び,
結い方,13,3549,dreadlocks,ドレッドヘア,✓
結い方,14,2325,doughnut_hair_bun,ドーナツお団子,
結い方,15,508,cornrows,コーンロウ,✓
結い方,16,369,heart_hair_bun,ハート型お団子,
結い方,17,43,quad_hair_rings,4つのお団子リング,
結い方,18,39,multiple_hair_buns,複数お団子,
結い方,19,34,huge_hair_bun,特大お団子,
前髪,1,1164638,hair_between_eyes,目の間の前髪,
前髪,2,289395,blunt_bangs,ぱっつん前髪,✓
前髪,3,245322,hair_over_one_eye,片目隠れ,✓
前髪,4,119964,swept_bangs,流し前髪,
前髪,5,20670,hair_over_eyes,目隠れ前髪,✓
前髪,6,8530,curtained_hair,カーテンヘア,
髪色,1,1537942,blonde_hair,金髪,✓
髪色,2,1504581,black_hair,黒髪,✓
髪色,3,1487487,brown_hair,茶髪,✓
髪色,4,855605,blue_hair,青,✓
髪色,5,703094,white_hair,白髪,✓
髪色,6,691036,pink_hair,ピンク,✓
髪色,7,690107,multicolored_hair,多色,
髪色,8,680558,grey_hair,グレー,✓
髪色,9,645942,purple_hair,紫,✓
髪色,10,520146,red_hair,赤毛,✓
髪色,11,417225,green_hair,緑,✓
髪色,12,245773,streaked_hair,メッシュ,✓
髪色,13,238891,two-tone_hair,ツートン,
髪色,14,237718,orange_hair,オレンジ,✓
髪色,15,137138,gradient_hair,グラデーション,✓
髪色,16,120273,aqua_hair,水色,
髪色,17,75993,colored_inner_hair,インナーカラー,
髪色,18,32469,light_blue_hair,水色,✓
髪色,19,16580,dark_blue_hair,紺,
髪色,20,3005,roots_(hair),根元プリン,
髪色,21,1603,rainbow_hair,レインボー,✓
髪色,22,46,wood_gradient_hair,木目調グラデーション,
パーツ,1,648770,ahoge,アホ毛,✓
パーツ,2,612620,sidelocks,サイドの房,✓
パーツ,3,76796,antenna_hair,アンテナ毛,
パーツ,4,5306,loose_hair_strand,ほつれ毛,
パーツ,5,4749,parted_hair,分け目,
パーツ,6,1270,lone_nape_hair,襟足の一房,
パーツ,7,430,heart_antenna_hair,ハート型アホ毛,
パーツ,8,77,double-parted_hair,二重分け目,
パーツ,9,76,stray_hair,後れ毛,✓
パーツ,10,32,huge_antenna_hair,特大アンテナ毛,
